id,category,name,platforms,priority,required_states,accessibility,notes
LAY-001,Structure,AdminShell,Web,P0,"expanded,collapsed,mobile-drawer",landmarks; skip-link; focus containment,
LAY-002,Structure,MemberPortalShell,Web,P0,"desktop,tablet,mobile",landmarks; current page announcement,
LAY-003,Structure,PublicShell,Web,P0,"transparent,solid,menu-open",semantic header/nav/footer,
LAY-004,Structure,MobileAppShell,Mobile,P0,"online,offline,badge",safe areas; tab semantics,
LAY-005,Structure,PageHeader,Web/Mobile,P0,"default,with-actions,with-breadcrumb",heading hierarchy,
LAY-006,Structure,Section,Web/Mobile,P0,"standard,dense,full-bleed",region name where required,
LAY-007,Structure,Card,Web/Mobile,P0,"default,interactive,selected,disabled",interactive card keyboard rules,
LAY-008,Structure,SplitPane,Web,P1,"50-50,master-detail,resizable",order preserved at zoom,
NAV-001,Navigation,SidebarNavigation,Web,P0,"expanded,collapsed,mobile",aria-current; keyboard,
NAV-002,Navigation,TopBar,Web,P0,"default,search-open,profile-open",named controls,
NAV-003,Navigation,PublicHeader,Web,P0,"desktop,mobile,scrolled",menu button aria-expanded,
NAV-004,Navigation,BottomNavigation,Mobile,P0,"default,active,badged",tab role or navigation links,
NAV-005,Navigation,Breadcrumb,Web,P0,"default,truncated",nav aria-label breadcrumb,
NAV-006,Navigation,Tabs,Web/Mobile,P0,"default,scrollable,disabled",ARIA tabs + roving tabindex,
NAV-007,Navigation,Stepper,Web/Mobile,P0,"current,complete,error,disabled",ordered list + current step,
NAV-008,Navigation,Pagination,Web,P0,"default,compact,server",aria-label pagination,
ACT-001,Actions,Button,Web/Mobile,P0,"default,hover,focus,pressed,loading,disabled",name; min target; busy,
ACT-002,Actions,IconButton,Web/Mobile,P0,"default,hover,focus,pressed,disabled",accessible name required,
ACT-003,Actions,SplitButton,Web,P1,"closed,open,disabled",separate menu semantics,
ACT-004,Actions,ButtonGroup,Web,P1,"single,multi",field/toolbar grouping,
ACT-005,Actions,Link,Web/Mobile,P0,"default,hover,focus,visited",not styled as button unless action,
FRM-001,Formulaire,TextInput,Web/Mobile,P0,"empty,filled,focus,error,success,disabled,readonly",persistent label; error association,
FRM-002,Formulaire,PasswordInput,Web/Mobile,P0,"hidden,visible,error",toggle has state/name,
FRM-003,Formulaire,TextArea,Web/Mobile,P0,"empty,filled,focus,error,disabled",character count announced,
FRM-004,Formulaire,Select,Web/Mobile,P0,"closed,open,selected,error,disabled",keyboard combobox/listbox,
FRM-005,Formulaire,Autocomplete,Web/Mobile,P0,"idle,typing,loading,no-result,selected,error",combobox ARIA pattern,
FRM-006,Formulaire,DatePicker,Web/Mobile,P0,"empty,selected,range,error,disabled",keyboard calendar; text fallback,
FRM-007,Formulaire,Checkbox,Web/Mobile,P0,"unchecked,checked,indeterminate,disabled",native semantics,
FRM-008,Formulaire,RadioGroup,Web/Mobile,P0,"default,selected,disabled,error",fieldset/legend,
FRM-009,Formulaire,Switch,Web/Mobile,P1,"off,on,disabled",role switch and label,
FRM-010,Formulaire,FileUploader,Web/Mobile,P0,"idle,drag,uploading,success,error,virus-scan",button alternative; progress,
FRM-011,Formulaire,OtpInput,Web/Mobile,P0,"empty,partial,complete,error,expired",one-time-code autocomplete; paste,
FRM-012,Formulaire,SearchField,Web/Mobile,P0,"idle,typing,loading,results,no-result",search landmark; clear name,
FRM-013,Formulaire,FilterBar,Web,P0,"collapsed,expanded,active-filters",count and removal labels,
FRM-014,Formulaire,FormSection,Web/Mobile,P0,"default,complete,error",fieldset when related fields,
FRM-015,Formulaire,StickyFormActions,Web/Mobile,P0,"default,saving,error",does not obscure focus,
DAT-001,Donnees,DataTable,Web,P0,"loading,empty,error,dense,selection,sort",caption; headers; sort state,
DAT-002,Donnees,ResponsiveRecordList,Web/Mobile,P0,"table,cards,empty",same reading order,
DAT-003,Donnees,ColumnSelector,Web,P1,"closed,open,saved",menu checkbox semantics,
DAT-004,Donnees,BulkActionBar,Web,P0,"hidden,visible,loading",selection count announced,
DAT-005,Donnees,DefinitionList,Web/Mobile,P0,"horizontal,stacked",semantic dl/dt/dd,
DAT-006,Donnees,Timeline,Web/Mobile,P0,"default,compact,loading",ordered list; dates readable,
DAT-007,Donnees,Metric,Web/Mobile,P0,"default,trend,warning,critical",trend not color-only,
DAT-008,Donnees,Progress,Web/Mobile,P0,"determinate,indeterminate,complete,error",progress semantics,
FDB-001,Feedback,StatusBadge,Web/Mobile,P0,"neutral,info,success,warning,error",text/icon in addition to color,
FDB-002,Feedback,Alert,Web/Mobile,P0,"info,success,warning,error",role alert only for urgent,
FDB-003,Feedback,Toast,Web/Mobile,P0,"success,error,info,with-action",live region; timeout policy,
FDB-004,Feedback,InlineErrorSummary,Web/Mobile,P0,"hidden,visible",links to invalid fields; focus,
FDB-005,Feedback,Skeleton,Web/Mobile,P0,"text,table,card,chart",aria-hidden + loading status,
FDB-006,Feedback,EmptyState,Web/Mobile,P0,"first-use,no-results,no-data",clear next action,
FDB-007,Feedback,ErrorState,Web/Mobile,P0,"recoverable,forbidden,not-found,offline",recovery action; status code optional,
OVR-001,Superposition,Dialog,Web/Mobile,P0,"open,confirm,danger,loading",focus trap; return focus,
OVR-002,Superposition,Drawer,Web/Mobile,P0,"left,right,bottom",focus trap; labelled,
OVR-003,Superposition,Popover,Web,P1,"closed,open",dismissible; no essential hover-only,
OVR-004,Superposition,Tooltip,Web,P1,"hidden,visible",escape; hover and focus,
VIS-001,Visualisation,ChartContainer,Web/Mobile,P0,"loading,empty,error,export",text summary and data table,
VIS-002,Visualisation,KpiStrip,Web,P0,"default,compact,scroll",semantic list,
VIS-003,Visualisation,MapPanel,Web,P1,"loading,data,no-data",table alternative,
VIS-004,Visualisation,InsightPanel,Web,P1,"facts,anomalies,recommendations",headings and lists,
DOM-001,Metier,MemberIdentityHeader,Web/Mobile,P0,"active,dormant,prospect,suspended",status text and badge,
DOM-002,Metier,ContributionSummary,Web/Mobile,P0,"paid,partial,late,not-due",currency and due date accessible,
DOM-003,Metier,PaymentChannelBadge,Web/Mobile,P0,"mobile-money,bank,cash,cheque",channel text visible,
DOM-004,Metier,ReconciliationPanel,Web,P0,"unmatched,partial,matched,exception",errors linked to allocation fields,
DOM-005,Metier,ReceiptPreview,Web/Mobile,P0,"draft,issued,void,unavailable",download alternative; metadata,
DOM-006,Metier,CampaignBuilder,Web,P1,"audience,message,cadence,schedule,review",step validity and summary,
DOM-007,Metier,RequestConversation,Web/Mobile,P0,"open,pending,resolved,closed",message chronology; attachments,
DOM-008,Metier,DocumentCard,Web/Mobile,P0,"available,processing,rejected,expired",file type/size/status,
DOM-009,Metier,MemberShowcaseHero,Web,P0,"verified,unverified,expired",verification explained in text,
DOM-010,Metier,ShowcaseActivityCard,Web,P0,"default,featured,no-image",image alt; semantic heading,
DOM-011,Metier,ShowcaseProjectCard,Web,P0,"default,featured,no-image",image alt; dates and tags,
DOM-012,Metier,ShowcaseGallery,Web,P1,"grid,lightbox,empty",keyboard lightbox; alt text,
DOM-013,Metier,ShowcaseEditor,Web,P0,"draft,invalid,preview,publishing,published",autosave status announced,
DOM-014,Metier,VerificationBadge,Web/Mobile,P0,"verified,pending,expired,suspended",never imply endorsement beyond status,
DOM-015,Metier,AgentAssignmentCard,Web,P1,"assigned,unassigned,unavailable",contact action names,
