id,scope,name,route,template,priority,roles,reference,status,notes
PUB-001,Public,Accueil public CNPM,/,PublicLanding,P0,Public,REF-PUB-001,Specifie,
PUB-002,Public,Presentation du CNPM,/le-cnpm,PublicContent,P1,Public,,Specifie,
PUB-003,Public,Services du CNPM,/services,PublicContent,P1,Public,,Specifie,
PUB-004,Public,Annuaire public des membres,/membres,PublicDirectory,P0,Public,,Specifie,
PUB-005,Public,Recherche et filtres annuaire,/membres/recherche,PublicDirectory,P1,Public,,Specifie,
PUB-006,Public,Vitrine publique d un membre,/membres/:slug,MemberShowcase,P0,Public,REF-PUB-006,Specifie,
PUB-007,Public,Liste des activites et projets du membre,/membres/:slug/activites,MemberShowcase,P1,Public,,Specifie,
PUB-008,Public,Detail d une realisation du membre,/membres/:slug/realisations/:id,MemberShowcaseDetail,P1,Public,,Specifie,
PUB-009,Public,Actualites CNPM,/actualites,PublicListing,P1,Public,,Specifie,
PUB-010,Public,Detail actualite,/actualites/:slug,PublicContent,P1,Public,,Specifie,
PUB-011,Public,Agenda et evenements,/agenda,PublicListing,P1,Public,,Specifie,
PUB-012,Public,Demande d adhesion publique,/adhesion,PublicForm,P0,Prospect,,Specifie,
PUB-013,Public,Confirmation demande adhesion,/adhesion/confirmation,PublicConfirmation,P0,Prospect,,Specifie,
PUB-014,Public,Contact CNPM,/contact,PublicForm,P1,Public,,Specifie,
PUB-015,Public,Verification publique d un recu,/verification/:code,PublicVerification,P0,Public,,Specifie,
PUB-016,Public,Mentions legales et confidentialite,/legal/:document,PublicContent,P1,Public,,Specifie,
AUTH-001,Authentification,Connexion administration / membre,/auth/login,AuthSplit,P0,Tous,REF-AUTH-001,Specifie,
AUTH-002,Authentification,Saisie du code 2FA,/auth/verify,AuthSplit,P0,Tous,REF-AUTH-001,Specifie,
AUTH-003,Authentification,Choix de methode 2FA,/auth/verify/method,AuthCentered,P0,Tous,,Specifie,
AUTH-004,Authentification,Mot de passe oublie,/auth/forgot-password,AuthCentered,P0,Tous,,Specifie,
AUTH-005,Authentification,Reinitialiser le mot de passe,/auth/reset-password,AuthCentered,P0,Tous,,Specifie,
AUTH-006,Authentification,Activation du compte,/auth/activate,AuthCentered,P0,Tous,,Specifie,
AUTH-007,Authentification,Enrolement TOTP / passkey,/auth/2fa-enrollment,AuthCentered,P1,Tous,,Specifie,
AUTH-008,Authentification,Session expiree / acces refuse,/auth/session-ended,AuthCentered,P0,Tous,,Specifie,
BO-001,Back-office,Tableau de bord operationnel,/admin/dashboard,AdminDashboard,P0,"Direction, Finance, Recouvrement",REF-BO-001,Specifie,
BO-002,Back-office,Liste des membres,/admin/members,AdminTable,P0,"Gestionnaire, Recouvrement",REF-BO-002,Specifie,
BO-003,Back-office,Fiche membre 360 degres,/admin/members/:id,AdminEntityDetail,P0,"Gestionnaire, Recouvrement",REF-BO-003,Specifie,
BO-004,Back-office,Creation / modification membre,/admin/members/:id/edit,AdminForm,P0,Gestionnaire,,Specifie,
BO-005,Back-office,Liste des entreprises,/admin/organizations,AdminTable,P0,Gestionnaire,,Specifie,
BO-006,Back-office,Fiche entreprise,/admin/organizations/:id,AdminEntityDetail,P0,Gestionnaire,,Specifie,
BO-007,Back-office,Gestion des contacts,/admin/organizations/:id/contacts,AdminTable,P1,Gestionnaire,,Specifie,
BO-008,Back-office,Liste des enrôlements,/admin/enrollments,AdminTable,P0,"Validateur, Gestionnaire",,Specifie,
BO-009,Back-office,Nouvel enrôlement multi-etapes,/admin/enrollments/new,AdminWizard,P0,Gestionnaire,REF-BO-009,Specifie,
BO-010,Back-office,Validation d un enrôlement,/admin/enrollments/:id/review,AdminReview,P0,Validateur,,Specifie,
BO-011,Back-office,Cotisations et echeanciers,/admin/contributions,AdminFinance,P0,"Finance, Comptable",REF-BO-011,Specifie,
BO-012,Back-office,Generation des appels,/admin/contributions/calls/new,AdminWizard,P0,Finance,,Specifie,
BO-013,Back-office,Detail d une cotisation,/admin/contributions/:id,AdminEntityDetail,P0,"Finance, Recouvrement",,Specifie,
BO-014,Back-office,Paiements et rapprochement,/admin/payments/reconciliation,AdminMasterDetail,P0,"Comptable, Finance",REF-BO-014,Specifie,
BO-015,Back-office,Import releve bancaire,/admin/payments/import,AdminImport,P0,Comptable,,Specifie,
BO-016,Back-office,Registre des recus,/admin/receipts,AdminTable,P0,"Finance, Audit",,Specifie,
BO-017,Back-office,Campagnes de recouvrement,/admin/recovery/campaigns,AdminCampaignBuilder,P1,Recouvrement,REF-BO-017,Specifie,
BO-018,Back-office,Detail d une campagne,/admin/recovery/campaigns/:id,AdminEntityDetail,P1,Recouvrement,,Specifie,
BO-019,Back-office,File des relances et actions,/admin/recovery/actions,AdminTable,P1,Recouvrement,,Specifie,
BO-020,Back-office,Portefeuille agent de recouvrement,/admin/recovery/portfolio,AdminTable,P1,Recouvrement,,Specifie,
BO-021,Back-office,Requetes et reclamations,/admin/requests,AdminTable,P0,"Support, Gestionnaire",,Specifie,
BO-022,Back-office,Traitement d une requete,/admin/requests/:id,AdminCaseDetail,P0,"Support, Gestionnaire",,Specifie,
BO-023,Back-office,GED et documents,/admin/documents,AdminDocumentLibrary,P1,"Gestionnaire, Audit",,Specifie,
BO-024,Back-office,Groupements professionnels,/admin/groups,AdminTable,P1,Gestionnaire,,Specifie,
BO-025,Back-office,Fiche groupement,/admin/groups/:id,AdminEntityDetail,P1,Gestionnaire,,Specifie,
BO-026,Back-office,"Reunions, commissions et decisions",/admin/governance,AdminWorkspace,P2,"Secretariat, Direction",,Specifie,
BO-027,Back-office,Evenements et formations,/admin/events,AdminTable,P2,Communication,,Specifie,
BO-028,Back-office,Reporting decisionnel,/admin/reporting,AdminAnalytics,P1,"Direction, Finance, Analyste",REF-BO-028,Specifie,
BO-029,Back-office,Constructeur de rapports,/admin/reporting/builder,AdminReportBuilder,P2,Analyste,,Specifie,
BO-030,Back-office,Utilisateurs et securite,/admin/security/users,AdminSecurity,P1,Administrateur securite,REF-BO-030,Specifie,
BO-031,Back-office,Roles et permissions,/admin/security/roles,AdminMatrix,P1,Administrateur securite,,Specifie,
BO-032,Back-office,Journaux d audit,/admin/security/audit,AdminAudit,P1,"Audit, Securite",,Specifie,
BO-033,Back-office,Parametrage fonctionnel,/admin/settings,AdminSettings,P1,Administrateur fonctionnel,,Specifie,
BO-034,Back-office,"Barèmes, taux et primes",/admin/settings/rates,AdminTable,P1,"Finance, Administrateur fonctionnel",,Specifie,
BO-035,Back-office,Primes de mobilisation,/admin/bonuses,AdminFinance,P1,"Finance, Commission",,Specifie,
BO-036,Back-office,Partage de revenus prestataire,/admin/revenue-share,AdminFinance,P1,"Finance, Direction",,Specifie,
BO-037,Back-office,Moderation des vitrines membres,/admin/showcases/moderation,AdminReview,P1,"Communication, Moderateur",,Specifie,
BO-038,Back-office,Supervision des integrations,/admin/integrations,AdminOperations,P1,Administrateur technique,,Specifie,
MP-001,Portail membre,Accueil du portail membre,/member/home,MemberDashboard,P0,Membre,REF-MP-001,Specifie,
MP-002,Portail membre,Mes cotisations,/member/contributions,MemberListing,P0,Membre,,Specifie,
MP-003,Portail membre,Detail cotisation et echeancier,/member/contributions/:id,MemberDetail,P0,Membre,,Specifie,
MP-004,Portail membre,Payer une cotisation,/member/payments/new,MemberPayment,P0,Membre,,Specifie,
MP-005,Portail membre,Confirmation de paiement,/member/payments/:id/status,MemberConfirmation,P0,Membre,,Specifie,
MP-006,Portail membre,Historique des paiements,/member/payments,MemberListing,P0,Membre,,Specifie,
MP-007,Portail membre,Mes recus et attestations,/member/receipts,MemberDocumentList,P0,Membre,,Specifie,
MP-008,Portail membre,Verification / telechargement recu,/member/receipts/:id,MemberDocumentPreview,P0,Membre,,Specifie,
MP-009,Portail membre,Mes requetes,/member/requests,MemberListing,P0,Membre,,Specifie,
MP-010,Portail membre,Nouvelle requete,/member/requests/new,MemberForm,P0,Membre,,Specifie,
MP-011,Portail membre,Detail et conversation requete,/member/requests/:id,MemberCaseDetail,P0,Membre,,Specifie,
MP-012,Portail membre,Mes documents,/member/documents,MemberDocumentList,P1,Membre,,Specifie,
MP-013,Portail membre,Profil entreprise,/member/profile,MemberProfile,P1,Administrateur membre,,Specifie,
MP-014,Portail membre,Utilisateurs de l entreprise,/member/users,MemberTable,P1,Administrateur membre,,Specifie,
MP-015,Portail membre,Editeur de vitrine publique,/member/showcase/edit,ShowcaseEditor,P0,Administrateur membre,,Specifie,
MP-016,Portail membre,Apercu et publication vitrine,/member/showcase/preview,ShowcasePreview,P0,Administrateur membre,,Specifie,
MP-017,Portail membre,Statistiques de la vitrine,/member/showcase/analytics,ShowcaseAnalytics,P1,Administrateur membre,,Specifie,
MP-018,Portail membre,Annuaire prive et opportunites,/member/directory,MemberDirectory,P1,Membre,,Specifie,
MP-019,Portail membre,"Evenements, formations, avantages",/member/benefits,MemberListing,P2,Membre,,Specifie,
MP-020,Portail membre,Securite et preferences,/member/settings/security,MemberSettings,P1,Membre,,Specifie,
MOB-001,Mobile,Connexion mobile,mobile://login,MobileAuth,P0,Membre,REF-MOB-001,Specifie,
MOB-002,Mobile,Verification 2FA mobile,mobile://verify,MobileAuth,P0,Membre,REF-MOB-001,Specifie,
MOB-003,Mobile,Accueil mobile membre,mobile://home,MobileDashboard,P0,Membre,REF-MOB-001,Specifie,
MOB-004,Mobile,Liste des cotisations,mobile://contributions,MobileList,P0,Membre,,Specifie,
MOB-005,Mobile,Detail cotisation,mobile://contributions/:id,MobileDetail,P0,Membre,,Specifie,
MOB-006,Mobile,Paiement Mobile Money,mobile://payments/new,MobilePayment,P0,Membre,,Specifie,
MOB-007,Mobile,Etat d un paiement,mobile://payments/:id,MobileConfirmation,P0,Membre,,Specifie,
MOB-008,Mobile,Historique paiements,mobile://payments,MobileList,P0,Membre,,Specifie,
MOB-009,Mobile,Liste des recus,mobile://receipts,MobileList,P0,Membre,,Specifie,
MOB-010,Mobile,Apercu recu,mobile://receipts/:id,MobileDocument,P0,Membre,,Specifie,
MOB-011,Mobile,Liste des requetes,mobile://requests,MobileList,P0,Membre,,Specifie,
MOB-012,Mobile,Nouvelle requete mobile,mobile://requests/new,MobileWizard,P0,Membre,REF-MOB-001,Specifie,
MOB-013,Mobile,Conversation requete,mobile://requests/:id,MobileConversation,P0,Membre,,Specifie,
MOB-014,Mobile,Documents,mobile://documents,MobileList,P1,Membre,,Specifie,
MOB-015,Mobile,Notifications,mobile://notifications,MobileList,P1,Membre,,Specifie,
MOB-016,Mobile,Profil et entreprise,mobile://profile,MobileProfile,P1,Membre,REF-MOB-001,Specifie,
MOB-017,Mobile,Securite et appareils,mobile://security,MobileSettings,P1,Membre,,Specifie,
MOB-018,Mobile,Mode hors connexion,mobile://offline,MobileOffline,P1,Membre,,Specifie,
MOB-019,Mobile,Synchronisation en attente,mobile://sync,MobileStatus,P1,Membre,,Specifie,
